id,type,domain,enabled,date_added,date_modified,comment
110,0,login.microsoftonline.com,1,1618324104,1618324104,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
111,0,manifest.googlevideo.com,1,1618324104,1618324104,"Used for YouTube live streams. - qjz9zk"
112,0,meta-db-worker02.pop.ric.plex.bz,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
113,0,meta.plex.bz,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
114,0,meta.plex.tv,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
115,0,microsoftonline.com,1,1618324104,1618324104,"Owned by Microsoft. This domain is checked by the operating systems when connecting via wifi, and if they do not get the response they expect, they may try to open a wifi login page or similar as they believe they are located behind a captive portal. - qjz9zk"
116,0,msftncsi.com,1,1618324104,1618324104,"Owned by Microsoft. This domain is checked by the operating systems when connecting via wifi, and if they do not get the response they expect, they may try to open a wifi login page or similar as they believe they are located behind a captive portal. - qjz9zk"
117,0,my.plexapp.com,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
118,0,nexusrules.officeapps.live.com,1,1618324104,1618324104,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
119,0,npr-news.streaming.adswizz.com,1,1618324104,1618324104,"Used for NPR morning news and podcasts. - qjz9zk"
120,0,nine.plugins.plexapp.com,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
121,0,no-ip.com,1,1618324104,1618324104,"No-IP offers DNS services, email, network monitoring and SSL certificates. - qjz9zk"
122,0,node.plexapp.com,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
123,0,notify.xboxlive.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
124,0,ns1.dropbox.com,1,1618324104,1618324104,"Dropbox nameserver. Used to download files from Dropbox - qjz9zk"
125,0,ns2.dropbox.com,1,1618324104,1618324104,"Dropbox nameserver. Used to download files from Dropbox - qjz9zk"
126,0,o1.email.plex.tv,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
127,0,o2.sg0.plex.tv,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
128,0,ocsp.apple.com,1,1618324104,1618324104,"iOS developers are able to distribute apps outside of the App Store using an Enterprise provisioning profile. Apple can revoke these kinds of apps by using this domain. - qjz9zk"
129,0,office.com,1,1618324104,1618324104,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
130,0,office.net,1,1618324104,1618324104,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
131,0,office365.com,1,1618324104,1618324104,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
132,0,officeclient.microsoft.com,1,1618324104,1618324104,"Used by Microsoft Office apps. - qjz9zk"
133,0,om.cbsi.com,1,1618324104,1618324104,"CBS All Access on straming platforms. - qjz9zk"
134,0,onedrive.live.com,1,1618324104,1618324104,"Owned by Microsoft. Used to sign in to One Drive. - qjz9zk"
135,0,outlook.live.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Outlook email. - qjz9zk"
136,0,outlook.office365.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Outlook email.ent - qjz9zk"
